FILEHASH,DELIMITER,QUOTECHAR,ESCAPECHAR,ENCODING
1,\t,"""",n/a,ascii
2,",",n/a,n/a,﻿ascii
3,",",n/a,n/a,﻿ascii
4,",",n/a,n/a,﻿ascii
5,",","""",n/a,﻿ascii
6,",",n/a,n/a,﻿ascii
7,",",n/a,n/a,﻿ascii
8,",",n/a,n/a,﻿ascii
9,",",n/a,n/a,﻿ascii
10,",","""",n/a,﻿ascii
11,",","""",n/a,﻿ascii
12,",",n/a,n/a,﻿utf-8
13,",",n/a,n/a,ascii
14,",",n/a,n/a,ascii
15,",",n/a,n/a,ascii
16,",",n/a,n/a,ascii
17,",",n/a,n/a,utf-8
18,",",n/a,n/a,ascii
19,",","""",n/a,ascii
20,",",n/a,n/a,﻿utf-8
21,",","""",n/a,ascii
22,",",n/a,n/a,ascii
23,",",n/a,n/a,ascii
24,",",n/a,n/a,ascii
25,",",n/a,n/a,ascii
26,",",n/a,n/a,ascii
27,",",n/a,n/a,﻿utf-8
28,",",n/a,n/a,ascii
29,",","""",n/a,utf-8
30,",",n/a,n/a,ascii
31,space,n/a,n/a,ascii
32,",",n/a,n/a,ascii
33,",",n/a,n/a,utf-8
34,",",n/a,n/a,ascii
35,",",n/a,n/a,ascii
36,",","""",n/a,utf-8
37,",",n/a,n/a,ascii
38,",",n/a,n/a,ascii
39,space,n/a,n/a,ascii
40,",",n/a,n/a,ascii
41,",",n/a,n/a,ascii
42,",",n/a,n/a,ascii
43,",",n/a,n/a,ascii
44,|,n/a,n/a,ascii
45,",",n/a,n/a,ascii
46,",","""",n/a,utf-8
47,",",n/a,n/a,ascii
48,",",n/a,n/a,ascii
49,",",n/a,n/a,utf-8
50,",",n/a,n/a,ascii
51,",",n/a,n/a,ascii
52,",",n/a,n/a,ascii
53,",",n/a,n/a,ascii
54,",","""",n/a,ascii
55,",",n/a,n/a,ascii
56,",",n/a,n/a,ascii
57,",",n/a,n/a,ascii
58,",",n/a,n/a,ascii
59,",",n/a,n/a,ascii
60,",",n/a,n/a,ascii
61,",",n/a,n/a,ascii
62,",",n/a,n/a,ascii
63,",","""",n/a,ascii
64,",",n/a,n/a,﻿ISO-8859-1
65,",",n/a,n/a,ascii
66,",",n/a,n/a,ascii
67,",","""",n/a,ascii
68,",",n/a,n/a,ascii
69,",",n/a,n/a,ascii
70,",","""",n/a,ascii
71,;,"""",n/a,utf-8
72,\t,n/a,n/a,ascii
73,",","""",n/a,utf-8
74,",",n/a,n/a,ascii
75,",",n/a,n/a,ascii
76,",",n/a,n/a,ascii
77,",","""",n/a,ascii
78,",",n/a,n/a,ascii
79,",",n/a,n/a,ascii
