"gutenberg_id","Topics"
18,"Politics"
147,"Politics"
151,"Politics"
167,"Art"
612,"Politics"
944,"Travel"
1082,"Travel"
1232,"Politics"
1341,"Politics"
1909,"Biology"
2009,"Biology"
2089,"Biology"
2130,"Politics"
2176,"Art"
2398,"Art"
2927,"Biology"
2938,"Biology"
3177,"Travel"
3207,"Politics"
3226,"Art"
3704,"Travel"
3751,"Art"
4776,"Politics"
4962,"Biology"
5000,"Art"
5321,"Art"
5669,"Politics"
5712,"Art"
6052,"Biology"
6317,"Travel"
6329,"Biology"
6385,"Cookery"
6429,"Cookery"
6762,"Politics"
6978,"Cookery"
7370,"Politics"
9596,"Politics"
10011,"Cookery"
11242,"Art"
12422,"Travel"
12815,"Cookery"
13119,"Art"
13249,"Biology"
13265,"Cookery"
14473,"Biology"
15019,"Cookery"
15509,"Politics"
15777,"Travel"
16180,"Art"
16410,"Biology"
17244,"Art"
17306,"Politics"
17373,"Art"
17408,"Art"
17966,"Biology"
18350,"Biology"
18884,"Biology"
18911,"Biology"
20125,"Politics"
20195,"Art"
20433,"Politics"
20818,"Biology"
22117,"Travel"
22409,"Travel"
22564,"Art"
22764,"Biology"
23755,"Biology"
24205,"Cookery"
24384,"Cookery"
24456,"Biology"
24542,"Cookery"
25007,"Cookery"
25631,"Cookery"
26032,"Cookery"
26558,"Cookery"
27245,"Cookery"
27250,"Travel"
27778,"Biology"
28323,"Travel"
29329,"Cookery"
29730,"Cookery"
29904,"Art"
31534,"Cookery"
33974,"Cookery"
34111,"Politics"
34645,"Art"
34822,"Cookery"
35894,"Politics"
38203,"Travel"
38532,"Art"
39026,"Travel"
39082,"Travel"
39308,"Travel"
39474,"Travel"
39496,"Travel"
39615,"Travel"
39622,"Politics"
39685,"Travel"
39806,"Travel"
45504,"Art"
