byte_offset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,19,9,35,21,14,28,14,10,9,3,15,4,6,0,2,2,4,2,18,3,5,10,3,1,5,1,3,5,0,6,1,0,16,1,4,8,9,3,2,1,1,0,0,0,1,0,1,0,22,2,12,9,7,6,2,5,1,2,2,7,3,2,2,1,6,1,2,4,6,3,2,1,1,3,2,2,1,0,0,0,3,0,0,2,8,1,0,0,0,1,0,0,0,1,0,1,5,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,19,25,0,1,1,10,2,2,6,10,9,0,18,3,28,4,0,3,0,0,2,1,0,0,0,1,1,1,50,0,0,2,3,0,0,0,1,1,0,0,0,1,0,0,5,0,0,2,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,7,2,0,0,16,0,0,1,1,2,1,37,3,0,7,2,1,0,0,1,0,1,0,0,0,0,1,3,5,0,7,3,0,2,0,0,2,4,2,0,0,1,0,1,57,5,2,0,7,17,3,4,2,1,0,0,0,0,1,4,51,0,6,1,5,22,1,3,3,0,1,3,2,2,4,29
256,22,12,28,14,12,31,19,9,10,2,16,9,4,0,0,5,4,2,21,3,5,11,0,0,5,0,4,7,1,2,0,1,13,1,0,7,10,3,2,1,1,0,1,0,0,0,0,0,23,4,10,12,10,6,3,6,1,3,2,8,2,2,2,1,7,1,2,3,7,0,2,1,1,2,2,3,1,2,0,0,4,0,0,1,11,0,1,0,0,0,0,0,0,1,0,0,5,0,1,1,2,0,2,0,0,0,0,0,1,0,0,0,1,0,3,0,25,24,0,1,6,10,1,2,10,13,4,0,8,3,21,0,0,4,0,0,2,1,0,0,1,0,0,1,62,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,8,0,0,2,0,0,1,1,2,0,2,1,0,0,1,0,0,0,0,0,7,4,0,0,16,0,1,1,1,1,0,45,1,0,3,2,2,0,0,1,0,1,0,0,0,0,1,1,0,0,9,1,0,2,0,0,3,4,3,1,0,0,0,0,58,9,4,0,8,15,3,4,2,2,0,1,1,0,1,4,54,1,8,1,4,20,1,3,1,1,1,4,5,3,5,5
512,16,12,35,18,13,31,20,15,8,5,18,8,4,0,0,3,9,4,26,3,6,14,2,1,6,1,3,7,1,2,1,1,17,2,2,7,12,4,2,2,2,2,1,1,0,1,0,0,25,6,8,11,10,4,2,4,0,4,2,7,1,0,1,1,5,0,1,1,7,1,3,1,1,2,2,3,3,3,1,0,4,1,0,3,9,2,1,4,2,5,0,0,0,2,0,1,10,0,4,2,0,0,2,0,0,0,0,0,1,0,0,0,3,0,3,0,22,22,0,1,10,11,0,1,8,11,0,0,6,0,24,4,0,5,0,0,1,0,0,0,1,0,0,1,46,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,9,0,0,2,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0,4,5,0,0,1,0,1,0,1,0,0,30,1,0,5,2,2,0,0,1,0,1,0,0,0,0,0,1,0,0,8,1,0,2,0,0,3,4,4,1,0,0,0,0,58,8,6,0,5,21,1,2,1,1,0,1,1,0,0,4,44,2,5,0,2,29,1,4,1,1,3,5,5,4,3,4
768,17,14,38,16,11,27,15,11,8,7,14,10,2,0,0,4,11,3,21,1,3,9,4,1,5,2,3,5,3,2,1,2,19,3,4,3,11,4,1,1,3,2,1,2,0,1,0,0,27,7,7,10,6,2,2,4,0,9,1,4,1,1,0,1,3,0,0,1,4,1,2,1,1,1,2,3,3,4,1,5,5,1,0,2,9,2,1,4,2,5,1,0,0,3,0,2,12,0,8,2,1,0,2,1,0,0,0,0,1,0,0,0,10,0,3,0,20,37,1,0,12,14,0,0,7,8,0,0,10,0,39,12,0,10,0,0,0,0,0,0,1,0,0,1,29,0,0,0,3,1,0,0,0,1,1,1,1,1,0,0,8,1,0,0,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,20,2,0,4,3,1,0,0,1,0,1,1,0,0,0,0,1,0,0,10,1,0,2,0,0,3,4,4,1,0,0,0,0,55,8,10,2,6,22,1,4,1,1,1,1,2,0,0,3,30,3,4,2,2,26,0,4,1,1,4,5,6,5,2,2
1024,15,17,36,19,7,24,15,11,7,7,9,8,0,0,0,4,11,3,21,1,2,10,5,3,8,3,4,3,3,2,2,2,16,5,7,1,6,2,1,1,4,3,2,2,0,1,0,0,26,5,5,3,4,0,1,1,0,9,1,1,0,1,0,1,5,0,0,0,4,1,1,0,0,1,0,1,2,5,2,11,2,1,0,2,8,2,1,4,2,5,1,0,0,4,0,4,17,0,8,5,1,1,3,1,1,0,0,0,1,0,0,0,10,0,2,0,23,38,1,0,15,8,1,0,4,5,0,0,12,0,45,20,0,16,2,0,0,0,0,0,1,0,3,0,25,0,0,0,1,1,0,0,0,0,1,1,1,2,0,0,6,3,0,0,0,0,0,0,2,0,1,1,0,0,2,4,0,0,0,0,1,7,0,0,1,0,1,0,0,0,1,18,2,0,19,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,16,0,0,3,0,0,2,1,4,1,1,0,0,0,52,5,11,2,6,21,1,4,1,1,1,1,2,0,0,4,38,3,5,2,2,19,0,1,0,1,4,3,5,5,4,1
1280,14,15,39,19,6,34,11,9,7,7,16,7,2,1,1,2,13,4,24,2,4,11,6,4,8,3,3,1,3,1,2,1,14,6,7,1,6,2,1,1,3,4,1,2,0,1,0,0,25,3,2,0,3,0,2,0,2,9,1,0,0,1,0,1,3,0,0,0,2,1,4,2,1,6,4,3,4,8,2,11,3,1,0,2,5,2,0,4,2,5,1,0,0,3,0,4,17,2,7,5,1,1,2,2,1,0,0,0,0,0,0,6,12,0,0,0,23,40,1,0,11,8,2,0,0,1,0,0,11,0,55,24,0,17,2,0,0,0,0,0,0,0,3,0,14,0,0,0,1,1,0,0,0,1,1,1,1,2,0,0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,2,7,0,0,1,0,0,0,0,0,1,10,1,0,19,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,12,0,0,1,0,1,1,1,3,0,1,0,0,0,52,1,9,2,8,28,2,5,1,0,1,0,2,1,0,3,35,2,3,2,0,31,0,1,1,0,4,3,3,5,3,0
1536,11,13,35,14,6,38,9,5,9,3,17,9,3,1,1,5,14,3,23,6,5,13,5,7,6,3,3,0,5,1,3,1,9,9,5,3,6,2,0,1,3,2,1,1,0,0,0,1,19,1,4,0,2,0,3,0,3,7,0,0,0,2,0,0,6,0,0,0,0,0,3,2,1,6,4,3,3,7,2,11,5,0,1,1,6,1,0,0,0,0,1,0,2,2,0,3,12,3,4,4,2,1,1,2,1,0,0,0,0,0,0,7,12,0,0,0,28,47,1,0,7,14,3,0,0,1,0,0,14,0,63,23,0,14,5,0,0,0,0,0,0,0,3,0,15,0,0,0,1,2,0,0,0,1,1,1,2,2,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,2,6,0,0,2,0,0,0,0,0,1,12,1,0,17,4,0,1,0,0,0,0,1,0,0,0,1,0,1,0,13,0,0,1,0,2,1,2,2,0,1,0,0,0,47,1,7,2,12,22,4,7,1,0,2,1,2,3,0,2,49,1,3,2,0,24,0,0,2,1,2,2,4,5,3,1
1792,16,11,26,15,11,39,9,12,12,2,17,11,3,1,1,5,9,3,27,10,9,20,4,7,4,2,1,1,3,2,3,0,7,9,7,3,6,1,0,1,2,2,1,0,0,0,0,1,20,0,6,5,7,2,3,0,6,3,0,0,0,1,0,0,7,1,0,2,1,0,3,2,1,6,4,3,4,6,2,6,4,0,1,1,4,1,0,0,0,0,0,0,2,1,0,2,9,3,0,4,1,1,1,1,1,0,0,1,0,0,1,8,5,0,1,0,30,37,0,0,4,14,3,0,0,4,2,0,14,0,52,15,0,9,5,0,0,0,0,0,0,0,3,0,27,0,0,0,4,2,0,0,0,1,0,0,1,1,0,0,1,2,0,4,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,2,4,0,0,2,0,0,0,0,0,1,23,0,0,18,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10,0,0,1,0,2,1,2,1,0,1,0,0,0,46,0,2,0,13,21,4,6,0,0,1,1,2,5,0,1,57,0,2,0,0,34,0,0,2,1,1,1,4,5,4,2
2048,20,8,24,10,11,41,8,13,11,9,16,12,6,1,3,6,9,3,23,9,9,15,3,6,2,2,0,2,3,4,2,0,11,10,6,3,9,2,0,1,1,1,0,0,0,0,0,1,22,0,10,7,10,2,5,2,8,2,0,4,3,1,1,4,5,2,2,3,4,0,3,2,1,5,4,3,4,5,1,0,4,0,1,3,13,1,0,0,0,0,0,0,2,0,0,0,4,3,0,1,1,0,0,1,0,0,0,1,0,0,1,9,5,0,1,0,29,35,0,0,1,12,2,0,0,4,2,2,13,1,47,8,0,3,4,0,0,0,0,0,0,0,0,0,42,0,0,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,7,0,0,2,0,0,0,0,0,0,32,2,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,1,0,0,0,0,0,4,49,0,0,0,9,20,5,16,0,0,1,1,2,6,0,0,58,0,0,0,4,32,0,0,2,1,0,1,3,6,3,5
2304,50,8,22,12,11,28,7,11,12,11,6,8,6,3,5,5,7,3,17,8,7,14,2,6,2,2,0,2,2,4,2,0,19,8,10,3,7,4,0,2,1,0,0,0,0,0,0,1,25,2,11,9,10,3,3,3,6,2,0,5,4,5,5,9,8,2,3,3,5,4,0,0,0,0,0,0,2,0,1,0,3,0,1,4,16,1,0,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,2,3,5,0,1,0,23,27,0,1,0,10,1,0,0,4,2,4,15,1,39,7,0,0,4,0,5,0,0,0,0,0,0,0,43,0,0,0,7,2,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,7,0,0,2,0,0,1,2,0,0,34,7,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,2,0,0,0,2,1,1,0,0,0,0,0,4,45,2,0,0,8,20,4,17,0,0,5,2,1,5,0,0,54,0,0,1,6,25,0,0,1,1,2,1,3,5,3,5
